barcode,brand_id,category,categoryCode,cpgOid,name,topBrand,brandCode
5.11112E+11,5332f7f0e4b03c9a25efd160,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Miller Genuine Draft,FALSE,MILLER GENUINE DRAFT
5.11112E+11,5f9770bfbe37ce03d08a2d87,Baking,BAKING,5f9770bfbe37ce03d08a2d83,test brand @1603760319814,,TEST BRANDCODE @1603760319814
5.11112E+11,5332f9f1e4b03c9a25efd1c4,,,5332f5f2e4b03c9a25efd0aa,Special K,,
5.11111E+11,5332f7a8e4b03c9a25efd136,,,5332f7a7e4b03c9a25efd134,Busch Light,,
5.11112E+11,5d5abca1a3a018514994f421,Grocery,,559c2234e4b06aca36af13c6,Amazing Grains,,AMAZING GRAINS
5.11112E+11,5f19e054be37ce33f74a1670,Baking,BAKING,5f19e054be37ce33f74a166e,test brand @1595531348374,,TEST BRANDCODE @1595531348374
5.11111E+11,5dc07de6a60b873d6b0666d0,Breakfast & Cereal,,53e10d6368abd3c7065097cc,Chocolate Cheeriosâ„¢,,CHOCOLATE CHEERIOS
5.11111E+11,5d66dfec6d5f3b6188d4f053,Beverages,,5332f5fbe4b03c9a25efd0ba,O.N.E. Coconut Water,,ONE
5.11112E+11,5a5d209ae4b0db471c2d0429,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Keystone Ice,,KEYSTONE ICE
5.11112E+11,5a5d1d05e4b06ba572cf249b,Dairy,,559c2234e4b06aca36af13c6,DIGIORNO CHEESE,FALSE,DIGIORNO CHEESE
5.11111E+11,5d601d74a3a018514994f422,Snacks,,53e10d6368abd3c7065097cc,Caleb's Kola,,CALEBS KOLA
5.11112E+11,60074277be37ce360be63a01,Baking,BAKING,60074277be37ce360be639fe,test brand @1611088503776,FALSE,TEST BRANDCODE @1611088503776
5.11111E+11,58861c7e4e8d0d20bc42c4ea,Beer Wine Spirits,,5332f709e4b03c9a25efd0f1,Pilsner Urquell,FALSE,PILSNER URQUELL
